timestamp,size_bytes,size_mb
2026-01-28T23:32:28.449528+05:30,19024979,18.14
2026-01-28T23:32:29.449591+05:30,19089157,18.20
2026-01-28T23:32:30.448917+05:30,19138183,18.25
2026-01-28T23:32:31.449529+05:30,19191972,18.30
2026-01-28T23:32:32.449493+05:30,19240386,18.35
2026-01-28T23:32:33.449173+05:30,19279278,18.39
2026-01-28T23:32:34.44918+05:30,19335880,18.44
2026-01-28T23:32:35.448577+05:30,19399238,18.50
2026-01-28T23:32:36.448997+05:30,19462698,18.56
2026-01-28T23:32:37.448717+05:30,19524981,18.62
2026-01-28T23:32:38.448985+05:30,19577075,18.67
2026-01-28T23:32:39.449502+05:30,19636847,18.73
2026-01-28T23:32:40.449118+05:30,19699028,18.79
2026-01-28T23:32:41.45032+05:30,19762488,18.85
2026-01-28T23:32:42.449507+05:30,19823798,18.91
2026-01-28T23:32:43.448721+05:30,19887976,18.97
2026-01-28T23:32:44.449282+05:30,19949592,19.03
2026-01-28T23:32:45.451647+05:30,20009725,19.08
2026-01-28T23:32:46.449458+05:30,20072161,19.14
2026-01-28T23:32:47.449665+05:30,20137414,19.20
2026-01-28T23:32:48.448722+05:30,20197598,19.26
2026-01-28T23:32:49.448472+05:30,20260854,19.32
2026-01-28T23:32:50.448695+05:30,20324518,19.38
2026-01-28T23:32:51.449397+05:30,20385059,19.44
2026-01-28T23:32:52.449168+05:30,20446420,19.50
2026-01-28T23:32:53.44882+05:30,20509370,19.56
2026-01-28T23:32:54.448697+05:30,20567455,19.61
2026-01-28T23:32:55.4486+05:30,20626972,19.67
2026-01-28T23:32:56.448663+05:30,20681628,19.72
2026-01-28T23:32:57.449346+05:30,20721493,19.76
2026-01-28T23:32:58.449127+05:30,20768114,19.81
2026-01-28T23:32:59.44901+05:30,20831268,19.87
2026-01-28T23:33:00.448623+05:30,20890224,19.92
2026-01-28T23:33:01.448526+05:30,20951279,19.98
2026-01-28T23:33:02.448558+05:30,21009058,20.04
2026-01-28T23:33:03.448976+05:30,21072263,20.10
2026-01-28T23:33:04.44879+05:30,21131882,20.15
2026-01-28T23:33:05.448842+05:30,21189712,20.21
2026-01-28T23:33:06.448874+05:30,21235258,20.25
2026-01-28T23:33:07.448796+05:30,21281726,20.30
2026-01-28T23:33:08.449366+05:30,21329677,20.34
2026-01-28T23:33:09.449125+05:30,21372614,20.38
2026-01-28T23:33:10.448425+05:30,21413554,20.42
