operation,latency_ms,timestamp
read,49.089,2026-01-28T23:35:03.508162+05:30
read,32.171,2026-01-28T23:35:03.508162+05:30
read,32.322,2026-01-28T23:35:03.508162+05:30
read,32.445,2026-01-28T23:35:03.508163+05:30
read,0.634,2026-01-28T23:35:03.508163+05:30
read,0.308,2026-01-28T23:35:03.508163+05:30
read,0.220,2026-01-28T23:35:03.508163+05:30
read,25.354,2026-01-28T23:35:03.508163+05:30
read,41.245,2026-01-28T23:35:03.508164+05:30
read,41.313,2026-01-28T23:35:03.508164+05:30
read,58.538,2026-01-28T23:35:03.508165+05:30
read,33.182,2026-01-28T23:35:03.508165+05:30
read,33.573,2026-01-28T23:35:03.508165+05:30
read,33.581,2026-01-28T23:35:03.508165+05:30
read,58.573,2026-01-28T23:35:03.508165+05:30
read,31.881,2026-01-28T23:35:03.508166+05:30
read,31.924,2026-01-28T23:35:03.508166+05:30
read,32.039,2026-01-28T23:35:03.508166+05:30
read,40.497,2026-01-28T23:35:03.508166+05:30
read,71.341,2026-01-28T23:35:03.508167+05:30
read,49.776,2026-01-28T23:35:03.508167+05:30
read,51.003,2026-01-28T23:35:03.508167+05:30
read,72.175,2026-01-28T23:35:03.508167+05:30
read,114.290,2026-01-28T23:35:03.508168+05:30
read,91.351,2026-01-28T23:35:03.508168+05:30
read,59.067,2026-01-28T23:35:03.508168+05:30
read,49.465,2026-01-28T23:35:03.508168+05:30
read,50.034,2026-01-28T23:35:03.508168+05:30
read,50.062,2026-01-28T23:35:03.508169+05:30
read,41.921,2026-01-28T23:35:03.508169+05:30
read,48.198,2026-01-28T23:35:03.508169+05:30
read,51.863,2026-01-28T23:35:03.508169+05:30
read,36.166,2026-01-28T23:35:03.50817+05:30
read,36.163,2026-01-28T23:35:03.50817+05:30
read,27.977,2026-01-28T23:35:03.50817+05:30
read,16.131,2026-01-28T23:35:03.50817+05:30
read,41.898,2026-01-28T23:35:03.508171+05:30
read,49.928,2026-01-28T23:35:03.508171+05:30
read,41.935,2026-01-28T23:35:03.508171+05:30
read,40.049,2026-01-28T23:35:03.508171+05:30
read,49.990,2026-01-28T23:35:03.508171+05:30
read,66.106,2026-01-28T23:35:03.508172+05:30
read,42.230,2026-01-28T23:35:03.508172+05:30
read,42.204,2026-01-28T23:35:03.508172+05:30
read,16.458,2026-01-28T23:35:03.508172+05:30
read,15.828,2026-01-28T23:35:03.508173+05:30
read,15.818,2026-01-28T23:35:03.508173+05:30
read,15.956,2026-01-28T23:35:03.508173+05:30
read,32.726,2026-01-28T23:35:03.508173+05:30
read,40.542,2026-01-28T23:35:03.508174+05:30
read,15.911,2026-01-28T23:35:03.508174+05:30
read,39.819,2026-01-28T23:35:03.508174+05:30
read,39.937,2026-01-28T23:35:03.508174+05:30
read,39.967,2026-01-28T23:35:03.508175+05:30
read,16.043,2026-01-28T23:35:03.508175+05:30
read,16.144,2026-01-28T23:35:03.508175+05:30
read,15.318,2026-01-28T23:35:03.508175+05:30
read,53.940,2026-01-28T23:35:03.508175+05:30
read,54.758,2026-01-28T23:35:03.508176+05:30
read,31.151,2026-01-28T23:35:03.508176+05:30
read,32.964,2026-01-28T23:35:03.508176+05:30
read,38.978,2026-01-28T23:35:03.508176+05:30
